Pregunta,Respuesta
"¿Dónde se encuentra el departamento de computación?","En el bloque H"
"¿Dónde se encuentra el psicólogo de la universidad?","En bienestar estudiantil, junto al bar"
"¿Cada cuánto tiempo se da las becas económicas?","Una vez al año"
"¿Cuántos accesos existen en la matriz de la universidad?","Dos accesos para vehículos y peatones"
"¿Qué clubes existen en la universidad?","ASOCIACIÓN DE INGENIEROS MECÁNICOS “ASME”; CHACAREROS IASA; ROBÓTICA; RAMA ESTUDIANTIL IEEE; POLÍTICA EXTERIOR Y DIPLOMACIA; GRUPO ESTUDIANTIL (Earthquake Engineering Research Institute) “EERI-ESPE”; ECOLÓGICO; DESARROLLO DE SOFTWARE; FOTOGRAFÍA; DANZA; MÚSICA (Ensamble); ORATORIA; LIDERAZGO"
"¿Cuáles son mis derechos como estudiante?","Según el artículo 5 de la LOES, los derechos de los estudiantes son: a) Acceder, movilizarse, permanecer, egresar y titularse sin discriminación conforme a sus méritos académicos; b) Acceder a una educación superior de calidad y pertinente; c) Contar y acceder a medios y recursos adecuados; d) Participar en el proceso de evaluación y acreditación; e) Elegir y ser elegido para representaciones estudiantiles; f) Ejercer la libertad de asociarse y expresarse; g) Participar en la construcción, difusión y aplicación del conocimiento; h) Recibir una educación superior laica, intercultural, democrática e inclusiva; i) Obtener becas y apoyo económico según méritos académicos; j) Desarrollarse en un ámbito educativo libre de violencia."
"¿Cuándo se consideran estudiantes regulares de la ESPE?","Son aquellos matriculados en el 60% de las asignaturas que permite su estudio en el periodo académico ordinario original."
"¿Cuándo pierdo gratuidad de estudio?","Según el artículo 11 del reglamento, se pierde la gratuidad de estudio público al perder el 30% de las horas correspondientes a las asignaturas."
"¿Quiénes son beneficiarios de las becas proporcionadas por la Universidad?","Las instituciones de educación superior establecerán programas de becas completas o equivalentes en ayudas económicas para al menos el 10% de los estudiantes regulares. Serán beneficiarios quienes no cuenten con recursos económicos suficientes, los estudiantes con alto promedio y distinción académica, deportistas de alto rendimiento, y los discapacitados."
"¿En qué me puede ayudar bienestar estudiantil?","Promueve la orientación vocacional y profesional, facilita la obtención de créditos, estímulos, ayudas económicas y becas, y ofrece servicios asistenciales. Además, promueve un ambiente libre de violencia y brinda asistencia en casos de violaciones de derechos."
"¿Dónde puedo pedir o reservar un aula que no está en uso?","Para reservar un aula que no está en uso, puedes hacerlo directamente con los encargados de los diferentes laboratorios."
"¿En qué bloque me pueden dar información acerca de la plataforma mi ESPE?","Puedes acercarte a las oficinas de TICS en el bloque A para obtener información sobre la plataforma."
"¿Dónde se encuentran los puntos de recarga y pago para el parqueadero?","Actualmente hay 2 puntos de pago y recarga de tarjetas para el parqueadero: uno en el Bloque C, segundo piso, y otro cerca de la biblioteca."
"Tengo problemas con mi correo institucional. ¿Con quién me contacto para solucionar esto?","Si es por almacenamiento, borra archivos innecesarios o contacta al edificio de TICS para explicar el problema. También puedes usar el Help Desk."
"No tengo cargados mis cursos y ya realicé el pago. ¿Cómo lo soluciono?","Manda un correo al departamento de TICS informando el problema. Generalmente, la activación de aulas virtuales toma unos 5 días después del pago."
"¿Cuáles son las carreras presenciales disponibles en la universidad ESPE?","Hay 22 carreras presenciales."
"¿Cuánto valen los créditos de la carrera de software?","$36.20"
"¿Cómo se llama el director de la carrera de Software?","Ing. Mauricio Campaña"
"¿Cuál es la oferta académica en la universidad ESPE?","La universidad dispone de 37 carreras, divididas en línea y presencial."
"¿Cuáles son los Clubs que dispone la universidad ESPE?","ASOCIACIÓN DE INGENIEROS MECÁNICOS “ASME”; CHACAREROS IASA; ROBÓTICA; RAMA ESTUDIANTIL IEEE; POLÍTICA EXTERIOR Y DIPLOMACIA; GRUPO ESTUDIANTIL (Earthquake Engineering Research Institute) “EERI-ESPE”; ECOLÓGICO; DESARROLLO DE SOFTWARE; FOTOGRAFÍA; DANZA; MÚSICA (Ensamble); ORATORIA; LIDERAZGO"
"¿Cuáles son los requisitos para el programa de becas en la universidad ESPE?","Debe ser confirmado y verificar con el departamento de becas."
"¿Qué pasa si me cobran dos veces una materia?","Presenta una queja escrita y digital a tesorería."
"¿En dónde puedo hacer mi trámite de devoluciones de dinero?","No devuelven."
"¿Por qué razón se me anularon mis materias?","1. Mala gestión de las personas encargadas de las aulas virtuales (UTIC). 2. No se cancelaron los pagos correspondientes a pérdida de materias (si estás en segunda o tercera matrícula)."
"¿Cuál es la filosofía de la universidad?","La institución se debe a la sociedad y Fuerzas Armadas, orientando su esfuerzo a la formación profesional, técnica y científica, investigación y soluciones en el ámbito académico."
"¿Cuál es la misión de la universidad?","La Universidad de las Fuerzas Armadas-ESPE forma personas en el campo científico y tecnológico bajo principios y valores; y genera conocimiento para contribuir al progreso del país y Fuerzas Armadas."
"¿Cuál es la visión de la universidad?","Al 2025, ser reconocidos a nivel nacional e internacional como una institución de educación superior de calidad en docencia, investigación y vinculación, articulando la transferencia de ciencia y tecnología y convirtiéndonos en un referente en seguridad y defensa."
"¿Cuáles son sus principios y valores?","Flexibilidad y cambio; Diferenciación y competitividad; Estabilidad y control; Cohesión e integración."
"¿Cuál es la información del director de la UAR?","Nombre: Fidel Leopoldo Castro de la Cruz, MS. Correo: flcastro@espe.edu.ec. Teléfono: 3989400 Ext. 1511"
"¿Cuál es la información del director de bienestar estudiantil?","Nombre: Mauricio Batallas. Correo: wmbatallas@espe.edu.ec. Teléfono: 3989400 Ext. 1530"
"¿Cuál es la información del director de desarrollo educativo?","Nombre: Wilman Stalin Guarnizo, MGS. Correo: wsguarnizo@espe.edu.ec. Teléfono: 3989400 Ext. 1600"
"¿Cuál es la información del director de educación presencial?","Nombre: Borys H. Culqui, MGTR. Correo: bhculqui@espe.edu.ec. Teléfono: 3989400 Ext. 1560"
"¿Cuál es la información del director de educación a distancia?","Nombre: Dra. Margarita Paulina Ortiz. Correo: mportiz@espe.edu.ec. Teléfono: 3989400 Ext. 1570"
"¿Cuál es la información del director de seguimiento a graduados?","Nombre: Ing. Paulina Espinosa R. Correo: mportiz@espe.edu.ec. Teléfono: 3989400 Ext. 2602"
"¿Cuántos laboratorios de Computación hay en los bloques G y H?","36 laboratorios"
"¿Cuántos bloques hay en el edificio principal?","2, Bloque A y Bloque B"
"¿Cuántos años tiene la universidad?","102 años"
"¿Cuántos Oferta Académica de Grado Modalidad en Línea Tiene la universidad?","6: Educación Básica, Educación Inicial, Economía, Turismo, Tecnologías de la Información, Pedagogía de los Idiomas y Extranjeros"
"¿Cuál es la visión de la Universidad?","Al 2025, ser reconocidos a nivel nacional e internacional como una institución de educación superior de calidad en docencia, investigación y vinculación, bajo el paradigma de una universidad inteligente."
"¿A quiénes está dirigido el retiro voluntario?","Para los estudiantes que hayan perdido la regularidad durante dos períodos académicos consecutivos o acumulados. También se considera cuando el estudiante no ha iniciado el proceso de reintegro en un período académico."
"¿Cuándo se deben presentar los trámites para becas y ayuda económica?","Durante la primera quincena de cada semestre académico."
"¿Cuándo debo hacer el registro de mis calificaciones?","En el plazo establecido por el calendario académico de la universidad."
"¿Dónde se ubica la oficina del Consejo Académico de la universidad?","En el bloque A."
"¿Qué hacer si tengo problemas con el sistema de gestión académico?","Reporta el problema al Help Desk o al departamento de TICS."
"¿Dónde puedo obtener información sobre las asignaturas disponibles?","En la oficina de la facultad o en la página web institucional."
"¿Dónde están ubicados los puntos de pago para servicios estudiantiles?","En el bloque A, primer piso."
"¿Qué requisitos debo cumplir para obtener una beca?","Debes cumplir con los requisitos establecidos en la convocatoria anual."
"¿Cómo puedo acceder a las instalaciones deportivas?","A través del área de deportes en bienestar estudiantil."
